Cement (Kg/m3),FAgg (Kg/m3),CSA (Kg/m3),Water (Kg/m3),River sand (Kg/m3),Silica fume (Kg/m3),SP (Kg/m3),W/B (%),Fibers (%),Aspect ratio (%),Tempurature (℃),Curing Age (Day),Specimen width (cm3),Specimen length (cm3),Specimen height (cm3),Compressive strength (MPa)
391.5,742,972.5,214.8,742,16.69,4,0.55,1,47,25,28,15,15,15,40.25
391.5,742,972.5,214.8,742,16.69,4,0.55,1,47,500,28,15,15,15,40.25
391.5,742,972.5,214.8,742,16.69,4,0.55,1,47,25,28,15,15,15,40.8
391.5,742,972.5,214.8,742,16.69,4,0.55,1,47,500,28,15,15,15,40.8
391.5,742,972.5,214.8,742,16.69,4,0.55,1,67,25,28,15,15,15,40
391.5,742,972.5,214.8,742,16.69,4,0.55,1,67,500,28,15,15,15,40
391.5,742,972.5,214.8,742,16.69,4,0.55,1,80,25,28,15,15,15,31
391.5,742,972.5,214.8,742,16.69,4,0.55,1,80,500,28,15,15,15,31
403,1230,606,161,1230,16.69,4,0.4,1,58.33,-6,3,10,10,10,31
403,1230,606,161,1230,16.69,4,0.4,1,58.33,-2,3,10,10,10,31
403,1230,606,161,1230,16.69,4,0.4,1,58.33,2,3,10,10,10,31
403,1230,606,161,1230,16.69,4,0.4,1,58.33,6,3,10,10,10,31
403,1178,580,161,1178,16.69,4,0.4,1,58.33,-6,3,10,10,10,42
403,1178,580,161,1178,16.69,4,0.4,1,58.33,-2,3,10,10,10,20
403,1178,580,161,1178,16.69,4,0.4,1,58.33,2,3,10,10,10,20
403,1178,580,161,1178,16.69,4,0.4,1,58.33,6,3,10,10,10,20
403,1125,554,161,1125,16.69,4,0.4,2,58.33,-6,3,10,10,10,20
403,1125,554,161,1125,16.69,4,0.4,2,58.33,-2,3,10,10,10,20
403,1125,554,161,1125,16.69,4,0.4,2,58.33,2,3,10,10,10,20
403,1125,554,161,1125,16.69,4,0.4,2,58.33,6,3,10,10,10,20
402.6,1230,606,161,1230,16.69,4,0.4,1,58.33,-6,3,10,10,10,20
402.6,1230,606,161,1230,16.69,4,0.4,1,58.33,-2,3,10,10,10,25.5
402.6,1230,606,161,1230,16.69,4,0.4,1,58.33,2,3,10,10,10,22
402.6,1230,606,161,1230,16.69,4,0.4,1,58.33,6,3,10,10,10,23.5
402.2,1230,606,161,1230,16.69,4,0.4,2,58.33,-6,3,10,10,10,20
402.2,1230,606,161,1230,16.69,4,0.4,2,58.33,-2,3,10,10,10,26
402.2,1230,606,161,1230,16.69,4,0.4,2,58.33,2,3,10,10,10,24.5
402.2,1230,606,161,1230,16.69,4,0.4,2,58.33,6,3,10,10,10,28.5
401.4,1230,606,161,1230,16.69,4,0.4,4,58.33,-6,3,10,10,10,20
401.4,1230,606,161,1230,16.69,4,0.4,4,58.33,-2,3,10,10,10,24
401.4,1230,606,161,1230,16.69,4,0.4,4,58.33,2,3,10,10,10,22.5
401.4,1230,606,161,1230,16.69,4,0.4,4,58.33,6,3,10,10,10,23.5
401,1230,606,161,1230,16.69,4,0.4,0.5,58.33,-6,3,10,10,10,20
401,1230,606,161,1230,16.69,4,0.4,0.5,58.33,-2,3,10,10,10,22
401,1230,606,161,1230,16.69,4,0.4,0.5,58.33,2,3,10,10,10,21
401,1230,606,161,1230,16.69,4,0.4,0.5,58.33,6,3,10,10,10,23
400,1230,606,161,1230,16.69,4,0.4,1,58.33,-6,3,10,10,10,22
400,1230,606,161,1230,16.69,4,0.4,1,58.33,-2,3,10,10,10,23
400,1230,606,161,1230,16.69,4,0.4,1,58.33,2,3,10,10,10,20
400,1230,606,161,1230,16.69,4,0.4,1,58.33,6,3,10,10,10,22.5
398,1230,606,161,1230,16.69,4,0.4,1.5,58.33,-6,3,10,10,10,22.5
398,1230,606,161,1230,16.69,4,0.4,1.5,58.33,-2,3,10,10,10,22.5
398,1230,606,161,1230,16.69,4,0.4,1.5,58.33,2,3,10,10,10,22.5
398,1230,606,161,1230,16.69,4,0.4,1.5,58.33,6,3,10,10,10,22.5
403,1230,606,161,1230,16.69,4,0.4,1.5,58.33,-6,7,10,10,10,25.5
403,1230,606,161,1230,16.69,4,0.4,1.5,58.33,-2,7,10,10,10,22.5
